"m","glm_mean","glm_sd","nb_mean","nb_sd","dab_mean","dab_sd"
50,0.264202657807309,0.0480483214698365,0.173538205980066,0.0515586355459447,0.263222591362126,0.0617802766352935
58,0.241160409556314,0.0369041253223102,0.16919795221843,0.0483822760159728,0.237798634812287,0.0573379426589826
66,0.227824561403509,0.035641421502912,0.167824561403509,0.0453154974658813,0.219649122807018,0.0426773558996592
74,0.223447653429603,0.0334795447205925,0.166281588447653,0.0474147416959507,0.201750902527076,0.0452803677687873
82,0.218866171003717,0.0351959538784707,0.174237918215613,0.0474948704670348,0.195557620817844,0.0438416535644222
90,0.21088122605364,0.029769461882382,0.17264367816092,0.0475243578532362,0.184693486590038,0.041851915295241
98,0.206778656126482,0.031430241193001,0.179723320158103,0.0445421524937369,0.176086956521739,0.0428567374249811
106,0.207102040816327,0.0319408535451842,0.177,0.0461188594644648,0.173897959183673,0.0362192151243888
114,0.203755274261603,0.0331119656597861,0.174599156118143,0.0465694872838238,0.167784810126582,0.0352005376537311
122,0.20028384279476,0.0308987408440393,0.173580786026201,0.0438230995090306,0.158558951965066,0.0313809805131051
130,0.193122171945701,0.0285810586830277,0.174072398190045,0.0421795110606776,0.154095022624434,0.0368699002453859
138,0.192276995305164,0.0273765646726981,0.175234741784038,0.0453790556389731,0.154201877934272,0.0322912943360016
146,0.19280487804878,0.029914576799007,0.174926829268293,0.0419370224839391,0.146048780487805,0.0329238195026486
154,0.189010152284264,0.0311378662275911,0.173654822335025,0.0442866804757729,0.145888324873096,0.0311098364328609
162,0.185,0.0312609843332389,0.179656084656085,0.0422957838179575,0.142380952380952,0.0309389761239642
170,0.182569060773481,0.0288242535377333,0.177099447513812,0.0425300502562727,0.140414364640884,0.0316981514177734
178,0.17742774566474,0.0285962740947182,0.178179190751445,0.0427895485534395,0.136445086705202,0.0284414357993295
186,0.175,0.0287363391393094,0.173787878787879,0.0357748253025744,0.139151515151515,0.0317506516513119
194,0.172515923566879,0.0281376964049259,0.175254777070064,0.043980495452513,0.132515923566879,0.0285399803837581
202,0.172751677852349,0.0289724461262958,0.179798657718121,0.0403616001441605,0.134295302013423,0.0294969935400603
210,0.168581560283688,0.0285704193182147,0.179468085106383,0.0420945230962287,0.129113475177305,0.0302262430982562
218,0.16890977443609,0.0317019296248723,0.17609022556391,0.0389585718463976,0.129699248120301,0.0305879699398576
226,0.16788,0.0305234994733648,0.18036,0.0425804635883287,0.12604,0.0296905040400252
234,0.168119658119658,0.0330203680064469,0.175940170940171,0.0396958891586203,0.124871794871795,0.0318049056844476
242,0.169770642201835,0.0307663885039041,0.183623853211009,0.0444857992862662,0.123165137614679,0.0328209221546377
250,0.163910891089109,0.0332729872174153,0.182623762376238,0.0472775956644202,0.129207920792079,0.0340349078868228
258,0.16241935483871,0.0355794064082201,0.180430107526882,0.0433224776539494,0.119838709677419,0.0355467316946557
266,0.161647058823529,0.0374685391957795,0.176764705882353,0.0417228643871544,0.118411764705882,0.0669895301918651
274,0.161168831168831,0.0401119995302699,0.181363636363636,0.046605404467837,0.118311688311688,0.037774577502859
282,0.163405797101449,0.0433430154405399,0.186884057971014,0.0477121299997908,0.118333333333333,0.0388440769227431
290,0.162868852459016,0.0412530069785237,0.182786885245902,0.0489118630197325,0.120327868852459,0.0467285732798552
298,0.162169811320755,0.0466059980068796,0.180943396226415,0.0479713821830662,0.11311320754717,0.0423591245882582
